label,sms
ham,"I have a new idea for the presentation."
spam,"Don't miss out on this amazing opportunity!"
ham,"How is your family doing?"
ham,"I got your message, I'll reply shortly."
spam,"Exclusive deal just for you! Act now!"
ham,"I need your opinion on the new design."
ham,"Can we meet later to discuss the project?"
spam,"Your account has been locked! Click here to unlock it."
ham,"Let's catch up tomorrow."
ham,"Can you send me the meeting agenda?"
spam,"Your prize is waiting for you! Claim it now!"
ham,"What time is the next train?"
ham,"Can you help me with the task I mentioned earlier?"
spam,"Act now! Your chance to win is running out!"
ham,"I need to finalize the details for the presentation."
ham,"Are you free for a chat tomorrow?"
spam,"Important! Your account is under threat! Click here to resolve it!"
ham,"Let's meet up for coffee tomorrow."
ham,"The workshop starts at 10 AM, right?"
spam,"Your package has been delivered! Click here to track it!"
ham,"Can we schedule a quick call this afternoon?"
ham,"Did you check out the new website design?"
spam,"You have one last chance to claim your reward!"
ham,"Let's plan for the team-building event next week."
ham,"How did the meeting with the client go?"
spam,"Limited time offer! Save big on your next purchase!"
ham,"Are you going to the networking event tomorrow?"
ham,"Let's meet for a quick chat later."
spam,"You’ve won a new car! Click here to claim your prize!"
ham,"Shall we go to the new restaurant tonight?"
ham,"Can you confirm the details for tomorrow's meeting?"
spam,"Claim your free subscription now before it expires!"
ham,"I need your feedback on the new proposal."
ham,"Are you available for a quick call this evening?"
spam,"Last chance! Unlock your free gift today!"
ham,"What time does the event start tomorrow?"
ham,"I sent the document over to you."
spam,"Congratulations! You've been selected to receive a special gift!"
ham,"Let's go for a quick run this morning."
ham,"I'll send you the details in a minute."
spam,"Act fast! This offer ends soon!"
ham,"Can we meet to discuss the new project?"
ham,"Did you finish reading the report?"
spam,"You are one click away from claiming your prize!"
ham,"I just finished reviewing the document you sent."
ham,"Are you free to meet tomorrow?"
spam,"You must verify your account to continue using our services!"
ham,"Do you want to collaborate on the new project?"
ham,"What are your thoughts on the new website design?"
spam,"Hurry up! Your chance to win ends soon!"
ham,"I was thinking of organizing a team lunch next week."
ham,"Let's catch up over the weekend."
